City,State,Zip,Country
New York,NY,10001,USA
Los Angeles,CA,90001,USA
Chicago,IL,60601,USA
Houston,TX,77001,USA
Phoenix,AZ,85001,USA
Philadelphia,PA,19019,USA
San Antonio,TX,78201,USA
San Diego,CA,92101,USA
Dallas,TX,75201,USA
Austin,TX,73301,USA
Jacksonville,FL,32099,USA
San Jose,CA,95101,USA
Fort Worth,TX,76101,USA
Charlotte,NC,28201,USA
Indianapolis,IN,46201,USA
Columbus,OH,43085,USA
San Francisco,CA,94102,USA
Seattle,WA,98101,USA
Denver,CO,80201,USA
Oklahoma City,OK,73101,USA
El Paso,TX,79901,USA
Las Vegas,NV,89101,USA
Boston,MA,2108,USA
Portland,OR,97201,USA
Memphis,TN,37501,USA
Detroit,MI,48201,USA
Baltimore,MD,21201,USA
Milwaukee,WI,53201,USA
Albuquerque,NM,87101,USA
Tucson,AZ,85701,USA
Fresno,CA,93650,USA
Sacramento,CA,94203,USA
Mesa,AZ,85201,USA
Kansas City,MO,64101,USA
Atlanta,GA,30301,USA
Brookhaven,NY,11719,USA
Colorado Springs,CO,80901,USA
Omaha,NE,68101,USA
Raleigh,NC,27601,USA
Virginia Beach,VA,23450,USA
Long Beach,CA,90801,USA
Miami,FL,33101,USA
Oakland,CA,94601,USA
Minneapolis,MN,55401,USA
Tulsa,OK,74101,USA
Bakersfield,CA,93301,USA
Tampa,FL,33601,USA
Wichita,KS,67201,USA
Arlington,TX,76001,USA
Aurora,CO,80010,USA
New Orleans,LA,70112,USA
Cleveland,OH,44101,USA
Anaheim,CA,92801,USA
Islip,NY,11751,USA
Henderson,NV,89002,USA
Stockton,CA,95201,USA
Riverside,CA,92501,USA
Corpus Christi,TX,78401,USA
Orlando,FL,32801,USA
Irvine,CA,92602,USA
Cincinnati,OH,45201,USA
Santa Ana,CA,92701,USA
Newark,NJ,7101,USA
Saint Paul,MN,55101,USA
Pittsburgh,PA,15201,USA
Greensboro,NC,27401,USA
Oyster Bay,NY,11771,USA
Lincoln,NE,68501,USA
Durham,NC,27701,USA
Plano,TX,75023,USA
Jersey City,NJ,7097,USA
Saint Louis,MO,63101,USA
Chandler,AZ,85224,USA
North Las Vegas,NV,89030,USA
Chula Vista,CA,91909,USA
Buffalo,NY,14201,USA
Gilbert,AZ,85233,USA
Reno,NV,89501,USA
Fort Wayne,IN,46801,USA
Toledo,OH,43601,USA
Lubbock,TX,79401,USA
Saint Petersburg,FL,33701,USA
Laredo,TX,78040,USA
Irving,TX,75014,USA
Chesapeake,VA,23320,USA
Glendale,AZ,85301,USA
Scottsdale,AZ,85250,USA
Garland,TX,75040,USA
Norfolk,VA,23501,USA
Port Saint Lucie,FL,34952,USA
Spokane,WA,99201,USA
Richmond,VA,23173,USA
Fremont,CA,94536,USA
Huntsville,AL,35801,USA
Tacoma,WA,98401,USA
Baton Rouge,LA,70801,USA
Santa Clarita,CA,91350,USA
San Bernardino,CA,92401,USA
Hialeah,FL,33002,USA
Frisco,TX,75033,USA
Modesto,CA,95350,USA
Cape Coral,FL,33904,USA
Fontana,CA,92331,USA
Moreno Valley,CA,92551,USA
Des Moines,IA,50301,USA
Fayetteville,NC,28301,USA
Yonkers,NY,10701,USA
Worcester,MA,1601,USA
Salt Lake City,UT,84101,USA
Huntington,NY,11743,USA
Little Rock,AR,72201,USA
Columbus,GA,31901,USA
Grand Prairie,TX,75050,USA
Tallahassee,FL,32301,USA
Amarillo,TX,79101,USA
Oxnard,CA,93030,USA
Peoria,AZ,85345,USA
Overland Park,KS,66204,USA
Montgomery,AL,36101,USA
Birmingham,AL,35201,USA
Grand Rapids,MI,49501,USA
Knoxville,TN,37901,USA
Vancouver,WA,98660,USA
Huntington Beach,CA,92605,USA
Providence,RI,2902,USA
Brownsville,TX,78520,USA
Glendale,CA,91201,USA
Akron,OH,44301,USA
Tempe,AZ,85280,USA
Newport News,VA,23601,USA
Chattanooga,TN,37401,USA
Mobile,AL,36619,USA
Fort Lauderdale,FL,33301,USA
Cary,NC,27511,USA
Shreveport,LA,71101,USA
Ontario,CA,91758,USA
Eugene,OR,97401,USA
Aurora,IL,60502,USA
Elk Grove,CA,95624,USA
Salem,OR,97301,USA
Santa Rosa,CA,95401,USA
Clarksville,TN,37040,USA
Rancho Cucamonga,CA,91701,USA
Oceanside,CA,92049,USA
Springfield,MO,65801,USA
Pembroke Pines,FL,33028,USA
Garden Grove,CA,92840,USA
Fort Collins,CO,80521,USA
Lancaster,CA,93534,USA
Palmdale,CA,93550,USA
Sioux Falls,SD,57101,USA
Murfreesboro,TN,37127,USA
Salinas,CA,93901,USA
Corona,CA,92877,USA
Killeen,TX,76540,USA
Hayward,CA,94540,USA
Paterson,NJ,7501,USA
Alexandria,VA,22301,USA
Roseville,CA,95661,USA
Surprise,AZ,85374,USA
Springfield,MA,1101,USA
Charleston,SC,29401,USA
Sunnyvale,CA,94085,USA
Bellevue,WA,98004,USA
Hollywood,FL,33019,USA
Denton,TX,76201,USA
Escondido,CA,92025,USA
Joliet,IL,60431,USA
Naperville,IL,60540,USA
Bridgeport,CT,6601,USA
Savannah,GA,31401,USA
Mesquite,TX,75149,USA
Pasadena,TX,77501,USA
Rockford,IL,61101,USA
Pomona,CA,91766,USA
Jackson,MS,39201,USA
Olathe,KS,66051,USA
Gainesville,FL,32601,USA
McAllen,TX,78501,USA
Syracuse,NY,13201,USA
Waco,TX,76701,USA
Visalia,CA,93277,USA
Thornton,CO,80241,USA
Torrance,CA,90501,USA
Fullerton,CA,92831,USA
Columbia,SC,29201,USA
New Haven,CT,6501,USA
Hampton,VA,23630,USA
Victorville,CA,92392,USA
Warren,MI,48088,USA
West Valley City,UT,84119,USA
Cedar Rapids,IA,52401,USA
Stamford,CT,6901,USA
Orange,CA,92856,USA
Dayton,OH,45401,USA
Midland,TX,79701,USA
Kent,WA,98030,USA
Elizabeth,NJ,7201,USA
Pasadena,CA,91101,USA
Carrollton,TX,75006,USA
Coral Springs,FL,33075,USA
Sterling Heights,MI,48310,USA
Fargo,ND,58102,USA
Lewisville,TX,75029,USA
Meridian,ID,83642,USA
Norman,OK,73019,USA
Palm Bay,FL,32905,USA
Columbia,MO,65201,USA
Abilene,TX,79601,USA
Pearland,TX,77581,USA
Santa Clara,CA,95050,USA
Round Rock,TX,78664,USA
Topeka,KS,66601,USA
Allentown,PA,18101,USA
Clovis,CA,93611,USA
Simi Valley,CA,93062,USA
College Station,TX,77840,USA
Thousand Oaks,CA,91358,USA
Vallejo,CA,94589,USA
Concord,CA,94518,USA
Rochester,MN,55901,USA
Arvada,CO,80001,USA
Lafayette,LA,70501,USA
Independence,MO,64050,USA
West Palm Beach,FL,33401,USA
Hartford,CT,6101,USA
Wilmington,NC,28401,USA
Lakeland,FL,33801,USA
Billings,MT,59101,USA
Ann Arbor,MI,48103,USA
Fairfield,CA,94533,USA
Berkeley,CA,94701,USA
Richardson,TX,75080,USA
North Charleston,SC,29405,USA
Cambridge,MA,2138,USA
